student_email,student_name,question_0,question_1,question_2,question_3,question_4,question_5,question_6,question_7,question_8,question_9,question_10,question_11,question_12
bu00001@bu.edu,smith,1,0,0,1,2,"2,3",2,7,"3,4,5,6","3,4,6","1,2,3,4,5,6,7,8,9","1,2","0,5"
bu00002@bu.edu,smith,1,0,0,0,2,"2,3",2,7,"1,3,5,7,9","6,7,3","1,2,3,4,5,6,7,8,10","2,5","1,2"
bu00003@bu.edu,smith,1,0,0,0,2,"0,1",2,7,"8,9","6,7,4","1,2,3,4,5,6,7,8,11","2,4,5","1,3"
bu00004@bu.edu,smith,1,0,0,1,2,"0,2",2,7,"1,2,3","6,7,1","1,2,3,4,5,6,7,8,12",1,"1,4"
bu00005@bu.edu,smith,1,0,0,0,2,"0,3",1,7,"1,2,4","6,7,6","2,3,4,5,6,7,8,9,10",1,"1,5"
bu00006@bu.edu,smith,1,1,0,1,2,"4,5",1,7,"1,2,5","3,0,9","2,3,4,5,6,7,8,9,11",1,"2,3"
bu00007@bu.edu,smith,1,1,0,1,2,"3,4",1,"5,4,6","1,2,6","1,0,2","2,3,4,5,6,7,8,9,12",1,"2,4"
bu00008@bu.edu,smith,1,1,0,1,3,0,1,"5,3,7","2,4","0,4,10","2,3,4,5,6,7,8,9,13",1,"2,5"
bu00009@bu.edu,smith,1,1,1,1,3,0,1,"2,4,1","4,2,5","11,12","2,3,4,5,6,11",1,2
bu00010@bu.edu,smith,1,1,0,1,3,6,0,"0,1,2","4,2,6","3,5,6","2,3,4,5,6,12","2,4","0,1"
bu00011@bu.edu,smith,1,1,1,1,3,"2,3",0,"3,4,5","4,2,7","3,5,12","2,3,4,5,6,13","3,1","0,2"
bu00012@bu.edu,smith,1,2,0,1,3,"0,2",0,"0,1,2","4,2,8","3,5,8","2,3,4,5,6,14","3,2","0,3"
bu00013@bu.edu,smith,1,2,1,0,2,0,0,"2,6,3","5,6","3,5,9","1,2,3,4,5,6,7,8","3,3","0,4"
bu00014@bu.edu,smith,1,2,1,0,3,"2,3",0,"2,6,4","2,5","3,6","11,12,13,14,15,16,17","3,4","1,3"
bu00015@bu.edu,smith,1,2,0,0,4,"1,4,5",3,"2,6,5","3,7","7,2,5","3,4,5,6,7,8,9,10,11,12","3,1",0
bu00016@bu.edu,smith,1,1,1,0,1,"2,3",3,"2,6,6","3,9","7,2,6","3,4,5,6,7,8,9,10,11,13","2,5,6",0
bu00017@bu.edu,smith,1,1,1,0,2,"4,2",3,"4,6","1,8","7,2,11","3,4,5,6,7,8,9,10,11,14",1,0
bu00018@bu.edu,smith,1,1,1,0,2,6,3,4,"0,2","7,2,8","3,4,5,6,7,8,9,10,11,15","1,4",0
bu00019@bu.edu,smith,1,1,1,0,2,6,3,"2,3","0,3","3,6","3,4,5,6,7,8,9,10,11,16","1,5",1
bu00020@bu.edu,smith,1,1,1,0,2,"5,3",2,"1,5","0,4,5","3,7,10","3,4,5,6,7,8,9,10,11,17",1,1
bu00021@bu.edu,smith,1,0,1,0,2,"5,6,2",2,"1,6","1,4,6","3,8","3,4,5,6,7,8,9,10,11,18","1,2",1
bu00022@bu.edu,smith,1,0,1,1,2,6,2,"1,7","1,4,9","3,9,5","3,4,5,6,7,8,9,10,11,19","3,5",1
bu00023@bu.edu,smith,1,0,1,1,3,6,2,"2,4,5","1,4,8",10,"3,4,5,6,7,8,9,10,11,20","2,3",2
bu00024@bu.edu,smith,1,0,1,1,3,6,3,"4,6","3,5,9",11,"3,4,5,6,7,8,9,10,11,20","2,4",2
bu00025@bu.edu,smith,1,0,1,1,3,"3,4,5",2,"3,4,6","3,6","3,6,8","5,6,7,8,9,10,11,12,13","2,5",2
bu00026@bu.edu,smith,2,0,1,1,3,6,1,"3,4,7","3,7","1,4,6","5,6,7,8,9,10,11,12,14","2,1",3
bu00027@bu.edu,smith,2,0,1,0,3,6,1,"1,3,4","5,8","4,7","5,6,7,8,9,10,11,12,15","2,0",3
bu00028@bu.edu,smith,2,0,1,0,3,"3,2",1,"4,5","5,9","1,4","5,6,7,8,9,10,11,12,16","0,3",3
bu00029@bu.edu,smith,1,0,1,0,3,0,2,"4,6","2,3,5","4,8","5,6,7,8,9,10,11,12,17","0,4",4
bu00030@bu.edu,smith,3,0,1,0,3,"4,3",0,7,"1,0,8","5,8,10","5,6,7,8,9,10,11,12,18","0,5",5
